timestamp,Open,High,Low,Close,Volume
2021-11-20,580.8,605.1,573.35,604.25,43088.24
2021-11-21,604.25,605.15,581.0,584.45,40214.68
2021-11-22,584.45,585.4,554.65,560.35,55002.44
2021-11-23,560.35,605.65,558.45,591.8,45469.93
2021-11-24,591.8,594.5,577.5,590.85,42420.85
2021-11-25,590.85,647.0,588.05,638.85,61602.45
2021-11-26,638.85,658.4,564.8,587.2,119695.86
2021-11-27,587.2,620.9,584.6,600.6,64503.96
2021-11-28,600.6,612.45,572.05,611.4,69133.14
2021-11-29,611.4,629.75,602.25,624.75,61303.37
2021-11-30,624.75,635.5,604.0,622.6,54953.22
2021-12-01,622.6,649.85,619.35,627.65,48328.22
2021-12-02,627.65,630.65,605.8,620.65,42831.21
2021-12-03,620.65,627.85,573.45,595.8,53481.29
2021-12-04,595.8,596.1,488.55,568.1,120719.71
2021-12-05,568.1,581.0,541.0,557.3,52847.45
2021-12-06,557.3,591.8,533.05,587.15,76942.72
2021-12-07,587.15,592.1,572.1,578.3,39462.97
2021-12-08,578.3,606.95,567.1,606.4,46017.15
2021-12-09,606.4,616.4,567.5,570.05,45961.34
2021-12-10,570.05,593.6,550.2,552.3,46902.91
2021-12-11,552.3,572.0,541.7,563.7,41171.81
2021-12-12,563.7,574.05,558.2,569.8,23219.34
2021-12-13,569.8,571.25,511.0,521.05,48945.73
2021-12-14,521.05,534.95,510.0,528.45,50254.06
2021-12-15,528.45,546.3,501.85,541.15,56521.41
2021-12-16,541.15,545.4,525.0,526.05,34095.35
2021-12-17,526.05,536.1,511.2,525.55,45252.46
2021-12-18,525.55,537.35,517.0,533.9,25737.27
2021-12-19,533.9,544.65,527.7,530.0,28103.79
2021-12-20,530.0,534.7,506.7,523.45,33184.2
2021-12-21,523.45,535.45,517.45,528.6,29023.67
2021-12-22,528.6,545.2,527.6,533.55,30062.53
2021-12-23,533.55,552.9,524.55,548.75,27830.09
2021-12-24,548.75,555.15,536.0,542.0,19605.63
2021-12-25,542.0,551.0,539.9,547.8,12393.56
2021-12-26,547.8,549.85,536.3,546.8,15218.14
2021-12-27,546.8,571.55,543.75,562.9,26540.39
2021-12-28,562.9,563.15,528.1,533.95,31787.5
2021-12-29,533.95,540.5,510.8,514.7,19180.67
2021-12-30,514.7,527.8,508.1,518.8,14594.49
2021-12-31,518.8,528.65,506.0,511.85,20758.51
2022-01-01,511.85,527.8,511.7,527.5,13411.65
